Designator,Footprint,Quantity,Value,LCSC Part #
"_7, _6, _5, _4, _3, _2, ",,7,,
BRD1,128x64OLED,1,SSD1306,
C1,0603,1,4u7,
"C10, C14, C2, C3, C4, C5, C6, C7, C8, C9",0402,10,100n,
"C11, C12",0402,2,10p,
C13,0805,1,10u,
C15,0805,1,2.2u,
"D1, D2",SOT-23-5,2,SOT-23-5,
D3,0603,1,RED,
D4,0805,1,RED,
"INA+, INA-",PinHeader_1x01_P2.54mm_Vertical,2,PinHeader_1x01_P2.54mm_Vertical,
INA260,1X08_ROUND_70,1,1X08_ROUND_70,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J5,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
MOD1,XBEE-20_THT,1,XB24CZ7PIT-004,XB24CZ7PIT-004
MS8607,1X05_ROUND,1,1X05_ROUND,
P1,JST_PHR-2,1,PHR-2,
R1,0402,1,4.7k,
R3,0402,1,1k,
"R4, R5",0402,2,10k,
"R6, R7",0402,2,1.5k,
"S1, S2",Switch_Tactile_THT_B3F-1xxx,2,PTS645SM43SMTR92_LFS,PTS645SM43SMTR92 LFS
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,TO-92_Inline,1,DS18B20,
U2,LQFP-100_14x14mm_P0.5mm,1,STM32U545VETx,
U5,SOT-23-5_M5_MCH,1,MIC5219-3.3YM5-TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
