Designator,Mid X,Mid Y,Rotation,Layer
_7,212.5,-67.5,0.0,top
_6,236.5,-73.0,0.0,top
_5,224.0,-86.5,0.0,top
_4,241.0,-73.0,0.0,top
_3,220.5,-87.5,0.0,top
_2,240.5,-78.5,0.0,top
,226.5,-86.5,0.0,top
BRD1,174.8,-106.45,0.0,top
C1,224.0,-89.5,180.0,top
C10,194.5675,-66.0,180.0,top
C11,206.0675,-82.0,0.0,top
C12,209.0,-76.0,0.0,top
C13,174.0,-89.0,270.0,top
C14,214.5,-93.0,0.0,top
C15,186.75,-87.0,0.0,top
C2,230.0,-83.5,180.0,top
C3,219.0,-84.0,180.0,top
C4,214.5,-78.0,90.0,top
C5,214.0,-72.5,180.0,top
C6,214.5,-70.5,270.0,top
C7,216.0,-66.0,270.0,top
C8,233.5,-67.0,0.0,top
C9,234.5,-69.0,0.0,top
D1,174.5,-80.5,270.0,top
D2,170.0,-89.0,270.0,top
D3,192.0,-89.5,0.0,top
D4,191.5,-51.5,90.0,top
INA+,180.5,-77.5,0.0,top
INA-,186.5,-77.5,0.0,top
INA260,202.0,-96.0,0.0,top
J3,228.465,-50.5,270.0,top
J5,165.0,-80.5,270.0,top
MOD1,175.3,-61.5,90.0,top
MS8607,242.5,-57.46,90.0,top
P1,163.5,-89.0,270.0,top
R1,236.5,-88.5,270.0,top
R3,214.4025,-87.0,0.0,top
R4,214.5,-89.5,180.0,top
R5,221.0,-63.0,0.0,top
R6,192.0125,-86.63,0.0,top
R7,191.5,-54.5,270.0,top
S1,223.0,-57.0,0.0,top
S2,197.0,-77.5,0.0,top
SW1,210.85,-50.22,180.0,top
U1,241.14,-85.23,90.0,top
U2,224.0,-74.0,270.0,top
U5,180.5,-87.5,180.0,top
Y1,206.9,-79.15,0.0,top
